"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLGBPUS","198608","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198609","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198610","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198611","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198612","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198613","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198701","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198702","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198703","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198704","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198705","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198706","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198707","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198708","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198709","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198710","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198711","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198712","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198713","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198801","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198802","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198803","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198804","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198805","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198806","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198807","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198808","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198809","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198810","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198811","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198812","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198813","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198901","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198902","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198903","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198904","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198905","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198906","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198907","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198908","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198909","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198910","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198911","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198912","303.108","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","198913","303.108","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199001","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199002","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199003","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199004","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199005","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199006","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199007","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199008","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199009","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199010","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199011","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199012","307.361","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199013","307.361","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199101","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199102","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199103","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199104","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199105","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199106","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199107","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199108","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199109","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199110","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199111","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199112","307.438","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199113","307.438","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199201","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199202","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199203","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199204","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199205","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199206","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199207","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199208","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199209","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
