label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 11:00:00","15.18"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 12:00:00","14.24"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 13:00:00","17.09"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 14:00:00","14.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 15:00:00","15.01"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 16:00:00","20.12"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 17:00:00","23.55"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 18:00:00","20.08"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 19:00:00","16.29"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 20:00:00","14.8"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 21:00:00","13.21"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 22:00:00","11.67"
"Zone J - NEW YORK CITY (DA)","price","2020-11-05 23:00:00","8.3"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 00:00:00","5.67"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 01:00:00","4.13"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 02:00:00","4.08"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 03:00:00","4.35"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 04:00:00","4.28"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 05:00:00","4.41"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 06:00:00","7.67"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 07:00:00","14.27"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 08:00:00","16.77"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 09:00:00","16.97"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 10:00:00","14.95"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 11:00:00","14.16"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 12:00:00","13.95"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 13:00:00","13.99"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 14:00:00","14.01"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 15:00:00","14.16"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 16:00:00","16.9"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 17:00:00","20.09"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 18:00:00","19.49"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 19:00:00","15.61"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 20:00:00","13.59"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 21:00:00","11.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 22:00:00","10.58"
"Zone J - NEW YORK CITY (DA)","price","2020-11-06 23:00:00","5.72"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 00:00:00","3.92"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 01:00:00","3.57"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 02:00:00","3.73"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 03:00:00","3.82"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 04:00:00","3.9"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 05:00:00","3.46"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 06:00:00","5.68"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 07:00:00","7.98"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 08:00:00","11.53"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 09:00:00","12.23"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 10:00:00","12.45"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 11:00:00","11.64"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 12:00:00","10.52"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 13:00:00","10.52"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 14:00:00","10.54"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 15:00:00","11.88"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 16:00:00","13.74"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 17:00:00","20.01"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 18:00:00","14.46"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 19:00:00","12.1"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 20:00:00","11.88"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 21:00:00","11.33"
