"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCASUS","202004","25.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202005","28.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202006","41.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202007","55.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202008","56.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202009","44.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202010","37.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202011","39.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202012","49.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202013","40.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202101","51.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202102","61.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202103","39.5","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202104","35.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202105","40.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202106","58.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202107","65.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202108","65.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202109","52.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202110","40.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202111","39.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202112","39.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202113","49.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202201","57.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202202","51.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202203","40","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202204","37.6","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202205","41.7","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202206","52","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202207","59.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202208","58.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202209","46.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202210","37.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202211","40.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202212","50.9","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202213","47.8","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202301","42.8","1","Coal Generating Units, Capacity Factor","Percent"
